Company,Ticker,Industry
Polar Capital Technology Trust,PCT,Investment Trusts
PPHE Hotel Group,PPH,Travel and Leisure
Premier Foods,PFD,Food & Drug Retailers
Primary Health Properties,PHP,Real Estate Investment Trusts
PRS REIT,PRS,Real Estate Investment Trusts
PureTech Health,PRTC,Health Care Equipment & Services
PZ Cussons,PZC,Personal Goods
Qinetiq,QQ,Aerospace & Defence
Quilter,QLT,Financial Services
Raspberry Pi Holdings,RPI,Technology
Rathbones,RAT,Financial Services
Renewi,RWI,Utilities
Renishaw,RSW,Electronic & Electrical Equipment
RHI Magnesita,RHIM,Support Services
RIT Capital Partners,RCP,Investment Trusts
Rotork,ROR,Industrial Engineering
RS Group,RS1,Industrials
Ruffer Investment Company,RICA,Investment Trusts
Safestore,SAFE,Real Estate Investment Trusts
Savills,SVS,Real Estate Investment & Services
Schroder AsiaPacific Fund,SDP,Investment Trusts
Schroder Oriental Income Fund,SOI,Financial Services
Scottish American Investment Company,SAIN,Investment Trusts
SDCL Energy Efficiency Income Trust,SEIT,Energy
Senior,SNR,Aerospace & Defence
Sequoia Economic Infrastructure Income Fund,SEQI,Financial Services
Serco,SRP,Support Services
Shaftesbury Capital,SHC,Real Estate Investment Trusts
Sirius Real Estate,SRE,Real Estate
Smithson Investment Trust,SSON,Investment Trusts
Softcat,SCT,Software & Computer Services
Spectris,SXS,Electronic & Electrical Equipment
Spire Healthcare,SPI,Health Care Equipment & Services
Spirent,SPT,Telecomms
SSP Group,SSPG,Retailers
SThree,STEM,Support Services
St. James's Place,STJ,Financial services
Supermarket Income REIT,SUPR,Real Estate Investment Trusts
Syncona,SYNC,Pharmaceuticals & Biotechnology
Target Healthcare REIT,THRL,Real Estate Investment Trusts
Tate & Lyle,TATE,Food Producers
TBC Bank,TBCG,Banks
Telecom Plus,TEP,Telecomms
Temple Bar Investment Trust,TMPL,Collective Investments
Templeton Emerging Markets Investment Trust,TEM,Investment Trusts
The Renewables Infrastructure Group,TRIG,Investment Trusts
TI Fluid Systems,TIFS,Automobiles & Parts
TP ICAP,TCAP,Support Services
Trainline,TRN,Industrial Transportation
Travis Perkins,TPK,Support Services
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts
Tritax EuroBox,EBOX,Investment Trusts
TR Property Investment Trust,TRY,Investment Trusts
Trustpilot,TRST,Technology
Twentyfour Income Fund,TFIF,Investment Trusts
Urban Logistics REIT,SHED,Real Estate Investment Trusts
Vesuvius,VSVS,General Industrials
Victrex,VCT,Chemicals
Vietnam Enterprise Investments,VEIL,General Financial
VinaCapital Vietnam Opportunity Fund,VOF,General Financial
Volution Group,FAN,Construction & Materials
W. A. G. Payment Solutions,WPS,Financial Services
Watches of Switzerland,WOSG,Personal Goods
Wetherspoon (J D),JDW,Travel & Leisure
W H Smith,SMWH,Retailers
Wizz Air,WIZZ,Travel & Leisure
Wood Group,WG,Oil & Gas Related Equipment and Services
Workspace Group,WKP,Real Estate Investment Trusts
Worldwide Healthcare Trust,WWH,Investment Trusts
XPS Pensions,XPS,Financial Services
Zigup,ZIG,Support Services
